EntrezSymbol	OriginalName	EntrezID	EntrezDescription
FOS	c-Fos	2353	FBJ murine osteosarcoma viral oncogene homolog
FOXA2	FOXA2	3170	forkhead box A2
IRF4	IRF4	3662	interferon regulatory factor 4
BRCA1	BRCA1	672	breast cancer 1, early onset
YY1	YY1	7528	YY1 transcription factor
ETS1	ETS1	2113	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
TCF12	TCF12	6938	transcription factor 12
SPI1	PU.1	6688	spleen focus forming virus (SFFV) proviral integration oncogene spi1
ESR1	ERalpha_a	2099	estrogen receptor 1
GATA2	GATA2	2624	GATA binding protein 2
ZNF263	ZNF263	10127	zinc finger protein 263
REST	NRSF	5978	RE1-silencing transcription factor
KAT2A	GCN5	2648	K(lysine) acetyltransferase 2A
RXRA	RXRA	6256	retinoid X receptor, alpha
NR2C2	TR4	7182	nuclear receptor subfamily 2, group C, member 2
PAX5	PAX5	5079	paired box 5
GTF2B	GTF2B	2959	general transcription factor IIB
POU2F2	POU2F2	5452	POU class 2 homeobox 2
STAT3	STAT3	6774	signal transducer and activator of transcription 3 (acute-phase response factor)
SMARCB1	Ini1	6598	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
HNF4A	HNF4A	3172	hepatocyte nuclear factor 4, alpha
ZZZ3	ZZZ3	26009	zinc finger, ZZ-type containing 3
SETDB1	SETDB1	9869	SET domain, bifurcated 1
MYC	c-Myc	4609	v-myc myelocytomatosis viral oncogene homolog (avian)
CTCF	CTCF	10664	CCCTC-binding factor (zinc finger protein)
GTF3C2	TFIIIC-110	2976	general transcription factor IIIC, polypeptide 2, beta 110kDa
SUZ12	SUZ12	23512	suppressor of zeste 12 homolog (Drosophila)
MAFK	MafK	7975	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)
ESRRA	ERRA	2101	estrogen-related receptor alpha
FOSL1	FOSL1	8061	FOS-like antigen 1
PPARGC1A	PGC1A	10891	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha
STAT2	STAT2	6773	signal transducer and activator of transcription 2, 113kDa
FAM48A	SPT20	55578	family with sequence similarity 48, member A
SMC3	SMC3	9126	structural maintenance of chromosomes 3
SREBF2	SREBP2	6721	sterol regulatory element binding transcription factor 2
FOSL2	FOSL2	2355	FOS-like antigen 2
JUN	c-Jun	3725	jun proto-oncogene
E2F6	E2F6	1876	E2F transcription factor 6
RDBP	NELFe	7936	RD RNA binding protein
SRF	SRF	6722	serum response factor (c-fos serum response element-binding transcription factor)
NR3C1	GR	2908	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
STAT1	STAT1	6772	signal transducer and activator of transcription 1, 91kDa
BDP1	BDP1	55814	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB
BHLHE40	BHLHE40	8553	basic helix-loop-helix family, member e40
SIX5	SIX5	147912	SIX homeobox 5
CTCFL	CTCFL	140690	CCCTC-binding factor (zinc finger protein)-like
ZNF274	ZNF274	10782	zinc finger protein 274
ATF3	ATF3	467	activating transcription factor 3
