Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	NM_000927	NP_000918.2	ENSG00000085563	chr7:86971494 - 87067436	ATP binding;ATPase activity;cell surface;hydrolase activity;integral to membrane;membrane;membrane fraction;nucleotide binding;protein binding;response to drug;transport;transporter activity;xenobiotic-transporting ATPase activity	Stability,  Tumor Suppressor
4363	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	NM_004996, NM_019900, NM_019899, NM_019862, NM_019898	NP_004987.2, NP_063955.2, NP_063954.2, NP_063915.2, NP_063953.2	ENSG00000103222	chr16:15951109 - 16142639	ATP binding;ATPase activity;ATPase activity, coupled to transmembrane movement of substances;integral to membrane;integral to plasma membrane;kinase activity;membrane;membrane fraction;nucleotide binding;response to drug;transferase activity;transport;transporter activity	Stability
9429	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	NM_004827	NP_004818.2	ENSG00000118777	chr4:89232409 - 89280171	ATP binding;ATPase activity;integral to membrane;membrane;nucleotide binding;response to drug;transport;transporter activity;xenobiotic-transporting ATPase activity	Stability
10006	ABI1	abl-interactor 1	NM_001012750, NM_005470, NM_001012752, NM_001012751	NP_001012768.1, NP_005461.2, NP_001012770.1, NP_001012769.1	ENSG00000136754	chr10:27077504 - 27189798	cytoskeletal protein binding;cytoskeleton;cytosol;endoplasmic reticulum;negative regulation of cell proliferation;nucleus;soluble fraction;transmembrane receptor protein tyrosine kinase signaling pathway	EGFR1,  Futreal et al 2004,  Mitelman 2000,  Stability,  Translocation
10152	ABI2	abl interactor 2	NM_005759	NP_005750.4	ENSG00000138443	chr2:203901482 - 204000320	actin polymerization and/or depolymerization;biological_process;cell migration;cytoplasm;cytoskeletal adaptor activity;cytoskeleton;cytoskeleton organization and biogenesis;DNA binding;filopodium;kinase binding;lamellipodium;molecular_function;nucleus;SH3 domain binding;SH3/SH2 adaptor activity	Stability,  Entrez Query:Oncogene
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
31	ACACA	acetyl-Coenzyme A carboxylase alpha	NM_198834	NP_942131.1, NP_942135.1	ENSG00000132142	chr17:32518363 - 32840502	acetyl-CoA carboxylase activity;ATP binding;biotin binding;biotin carboxylase activity;fatty acid biosynthetic process;ligase activity;manganese ion binding;metabolic process;metal ion binding;nucleotide binding;protein binding	Stability,  Tumor Suppressor
35	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	NM_000017	NP_000008.1	ENSG00000122971	chr12:119648071 - 119661634	butyryl-CoA dehydrogenase activity;electron transport;FAD binding;fatty acid beta-oxidation;fatty acid metabolic process;lipid metabolic process;mitochondrion	Stability
55	ACPP	acid phosphatase, prostate	NM_001099	NP_001090.2	ENSG00000014257	chr3:133518990 - 133558412	acid phosphatase activity;extracellular region;hydrolase activity;protein tyrosine phosphatase activity;regulation of progression through cell cycle	Stability
90	ACVR1	activin A receptor, type I	NM_001105	NP_001104537.1	ENSG00000115170	chr2:158302288 - 158364251	activin binding;activin receptor activity, type I;activin receptor complex;acute inflammatory response;apical part of cell;ATP binding;determination of left/right symmetry;follistatin binding;G1/S transition of mitotic cell cycle;gastrulation;germ cell development;heart development;in utero embryonic development;magnesium ion binding;manganese ion binding;membrane;mesoderm formation;negative regulation of activin receptor signaling pathway;negative regulation of apoptosis;neural crest cell migration;nucleot	Stability
53616	ADAM22	ADAM metallopeptidase domain 22	NM_004194, NM_021722, NM_016351, NM_021721, NM_021723	NP_004185.1, NP_068368.2, NP_057435.2, NP_068367.1, NP_068369.1	ENSG00000008277	chr7:87401716 - 87663742	cell adhesion;central nervous system development;integral to membrane;integrin binding;membrane;metalloendopeptidase activity;negative regulation of cell adhesion;protein binding;proteolysis	Stability
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	NM_006988	NP_008919.3	ENSG00000154734	chr21:27131768 - 27139144	heparin binding;integrin binding;integrin-mediated signaling pathway;metal ion binding;metalloendopeptidase activity;negative regulation of cell proliferation;proteinaceous extracellular matrix;proteolysis;zinc ion binding	Stability
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	NM_139026, NM_139025, NM_139027	NP_620595.1, NP_620594.1, NP_620596.2	ENSG00000160323	chr9:135277384 - 135314123	calcium ion binding;cell surface;cell-matrix adhesion;glycoprotein metabolic process;integrin binding;integrin-mediated signaling pathway;metalloendopeptidase activity;peptidase activity;peptide catabolic process;platelet activation;protein binding;protein processing;proteinaceous extracellular matrix;proteolysis;zinc ion binding	Stability
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	NM_004797	NP_004788.1	ENSG00000181092	chr3:188053541 - 188055187	cytoplasm;endoplasmic reticulum;extracellular region;extracellular space;fatty acid beta-oxidation;generation of precursor metabolites and energy;glucose homeostasis;glucose metabolic process;hormone activity;negative regulation of gluconeogenesis;phosphate transport;positive regulation of fatty acid metabolic process;positive regulation of glucose import;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein homooligomerization;response to glucose stimulus	Protein Kinase,  Stability,  Tumor Suppressor
135	ADORA2A	adenosine A2a receptor	NM_000675	NP_000666.2	ENSG00000128271	chr22:23159372 - 23167457	A2A adenosine receptor activity, G-protein coupled;adenylate cyclase activation;apoptosis;blood coagulation;cAMP biosynthetic process;cell-cell signaling;cellular defense response;central nervous system development;circulation;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to cAMP nucleotide second messenger;gastric inhibitory peptide receptor activity;inflammatory response;integral to membrane;integral to plasma membrane;membrane;membrane fraction;neurotransmitter transpo	Stability
151	ADRA2B	adrenergic, alpha-2B-, receptor	NM_000682	NP_000673.2	ENSG00000181210	chr2:96144271 - 96145615	adrenoceptor activity;alpha2-adrenergic receptor activity;cell-cell signaling;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Stability
156	ADRBK1	adrenergic, beta, receptor kinase 1	NM_001619	NP_001610.2	ENSG00000173020	chr11:66790746 - 66809497	ATP binding;cardiac inotropy;cytoplasm;desensitization of G-protein coupled receptor protein signaling pathway;G-protein coupled receptor kinase activity;G-protein coupled receptor protein signaling pathway;heart development;membrane;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor activity;signal transducer activity;signal transduction;soluble fraction;transferase activity	Protein Kinase,  Stability
177	AGER	advanced glycosylation end product-specific receptor	NM_001136, NM_172197	NP_001127.1, NP_751947.1	ENSG00000168442	chr6:32256897 - 32259977	cell adhesion;cell surface receptor linked signal transduction;inflammatory response;integral to membrane;integral to plasma membrane;membrane;plasma membrane;protein binding;receptor activity;transmembrane receptor activity	Stability
178	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	NM_000643, NM_000645, NM_000646	NP_000635.2, NP_000636.2, NP_000637.2	ENSG00000162688	chr1:100089186 - 100159795	4-alpha-glucanotransferase activity;amylo-alpha-1,6-glucosidase activity;carbohydrate metabolic process;cation binding;glycogen biosynthetic process;hydrolase activity, acting on glycosyl bonds;isoamylase complex;metabolic process;transferase activity;transferase activity, transferring glycosyl groups	Stability
183	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	NM_000029	NP_000020.1	ENSG00000135744	chr1:228905509 - 228913219	angiotensin mediated regulation of renal output;angiotensin mediated vasoconstriction during regulation of blood pressure;astrocyte activation;blood pressure regulation;blood vessel development;brain renin-angiotensin system;cell surface receptor linked signal transduction;cell-cell signaling;cell-matrix adhesion;drinking behavior;establishment of blood-nerve barrier;extracellular matrix organization and biogenesis;extracellular region;extracellular space;hormone activity;hormone metabolic process;kidney de	Stability
185	AGTR1	angiotensin II receptor, type 1	NM_032049	NP_114438.1	ENSG00000144891	chr3:149941512 - 149942592	angiotensin type II receptor activity;bradykinin receptor activity;C-X-C chemokine receptor activity;circulation;elevation of cytosolic calcium ion concentration;fluid secretion;G-protein coupled receptor protein signaling pathway;G-protein signaling, coupled to IP3 second messenger (phospholipase C activating);integral to membrane;integral to plasma membrane;membrane;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Stability
186	AGTR2	angiotensin II receptor, type 2	NM_000686	NP_000677.2	ENSG00000180772	chrX:115217561 - 115218653	angiotensin mediated vasodilation during regulation of blood pressure;angiotensin type II receptor activity;apoptosis;behavior;blood pressure regulation;bradykinin receptor activity;brain renin-angiotensin system;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;protein kinase inhibitor activity;receptor activity;rhodopsin-like receptor activity	Protein Kinase,  Stability,  Tumor Suppressor
189	AGXT	alanine-glyoxylate aminotransferase	NM_000030	NP_000021.1	ENSG00000172482	chr2:241456955 - 241466911	alanine-glyoxylate transaminase activity;glyoxylate metabolic process;metabolic process;mitochondrion;peroxisome;protein binding;protein homodimerization activity;protein targeting to peroxisome;pyridoxal phosphate binding;serine-pyruvate transaminase activity;transaminase activity;transferase activity	Stability
191	AHCY	S-adenosylhomocysteine hydrolase	NM_000687	NP_000678.1	ENSG00000101444	chr20:32332500 - 32354737	adenosylhomocysteinase activity;cytoplasm;hydrolase activity;one-carbon compound metabolic process;protein binding	Stability
10598	AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	NM_012111	NP_036243.1	ENSG00000100591	chr14:76994285 - 77005345	ATPase stimulator activity;chaperone activator activity;chaperone binding;cytoplasm;endoplasmic reticulum;protein folding;response to stress	Stability
9131	AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	NM_145812, NM_004208, NM_145813	NP_665811.1, NP_004199.1, NP_665812.1	ENSG00000156709	chrX:129091212 - 129127311	apoptosis;cell redox homeostasis;cytoplasm;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;DNA fragmentation during apoptosis;electron carrier activity;electron transport;FAD binding;mitochondrion;nucleus;protein binding	Stability
9049	AIP	aryl hydrocarbon receptor interacting protein	NM_003977	NP_003968.2	ENSG00000110711	chr11:67007205 - 67015040	cytoplasm;cytosol;membrane fraction;protein import into mitochondrion;protein maturation via protein folding;signal transducer activity;transcription coactivator activity;unfolded protein binding;xenobiotic metabolic process	Stability,  Tumor Suppressor
23746	AIPL1	aryl hydrocarbon receptor interacting protein-like 1	NM_001033054, NM_001033055, NM_014336	NP_001028226.1, NP_001028227.1, NP_055151.3	ENSG00000129221	chr17:6269503 - 6279148	binding;cytoplasm;farnesylated protein binding;nucleus;protein farnesylation;protein folding;receptor activity;response to stimulus;unfolded protein binding;visual perception	Stability
