Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
10006	ABI1	abl-interactor 1	NM_001012750, NM_005470, NM_001012752, NM_001012751	NP_001012768.1, NP_005461.2, NP_001012770.1, NP_001012769.1	ENSG00000136754	chr10:27077504 - 27189798	cytoskeletal protein binding;cytoskeleton;cytosol;endoplasmic reticulum;negative regulation of cell proliferation;nucleus;soluble fraction;transmembrane receptor protein tyrosine kinase signaling pathway	EGFR1,  Futreal et al 2004,  Mitelman 2000,  Stability,  Translocation
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	NM_005158, NM_001100108, NM_007314	NP_005149.3, NP_001093578.1, NP_009298.1	null	chr1:177343475 - 177378802	ATP binding;cell adhesion;cytoplasm;cytoskeleton;intracellular signaling cascade;magnesium ion binding;manganese ion binding;nucleotide binding;peptidyl-tyrosine phosphorylation;phosphoinositide 3-kinase complex;phosphoinositide 3-kinase regulator activity;protein binding;protein modification process;protein-tyrosine kinase activity;transferase activity	Futreal et al 2004,  Mitelman 2000,  Protein Kinase,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
23305	ACSL6	acyl-CoA synthetase long-chain family member 6	NM_001009185, NM_015256	NP_001009185.1, NP_056071.2	ENSG00000164398	chr5:131317825 - 131375145	acyl-CoA metabolic process;catalytic activity;integral to membrane;ligase activity;lipid metabolic process;long-chain-fatty-acid-CoA ligase activity;magnesium ion binding;metabolic process;microsome;mitochondrial outer membrane;peroxisomal membrane;peroxisome;plasma membrane	Futreal et al 2004,  Mitelman 2000,  Translocation
4299	AFF1	AF4/FMR2 family, member 1	NM_005935	NP_005926.1	ENSG00000172493	chr4:88147583 - 88275877	nucleus;transcription factor activity	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
3899	AFF3	AF4/FMR2 family, member 3	NM_001025108, NM_002285	NP_001020279.1, NP_002276.2	ENSG00000144218	chr2:99534367 - 100087348	DNA binding;multicellular organismal development;nucleus;regulation of transcription, DNA-dependent;transcription	Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Translocation
27125	AFF4	AF4/FMR2 family, member 4	NM_014423	NP_055238.1	ENSG00000072364	chr5:132244649 - 132300780	nucleus;regulation of transcription, DNA-dependent;transcription;transcription factor activity;transcription from RNA polymerase II promoter	Futreal et al 2004,  Translocation
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	NM_001626	NP_001617.1	ENSG00000105221	chr19:45431618 - 45463014	ATP binding;lamellipodium;nucleotide binding;protein amino acid phosphorylation;protein binding;protein modification process;protein serine/threonine kinase activity;regulation of JNK cascade;transferase activity	TNF_alpha_NF_kB,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Entrez Query:Oncogene,  Amplification
238	ALK	anaplastic lymphoma kinase (Ki-1)	NM_004304	NP_004295.2	ENSG00000171094	chr2:29269593 - 29997029	ATP binding;brain development;integral to plasma membrane;membrane;nervous system development;nucleotide binding;protein amino acid N-linked glycosylation;protein amino acid phosphorylation;receptor activity;receptor signaling protein tyrosine kinase activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tyrosine Kinase,  Translocation
324	APC	adenomatosis polyposis coli	NM_001127511, NM_001127510	NP_001120983.1, NP_001120982.1	ENSG00000134982	chr5:112118486 - 112207722	anterior/posterior pattern formation;axis specification;beta-catenin binding;beta-catenin destruction complex;cell adhesion;cell cycle;cell cycle arrest;centrosome;cytoplasm;dorsal/ventral pattern formation;kinetochore;lateral plasma membrane;microtubule binding;negative regulation of cell proliferation;negative regulation of cyclin-dependent protein kinase activity;negative regulation of microtubule depolymerization;nucleus;protein complex assembly;protein kinase binding;protein kinase CK2 regulator activi	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
