Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	NM_001014431	NP_005154.2	ENSG00000142208	chr14:104307722 - 104330025	anagen;apoptosis;apoptotic mitochondrial changes;ATP binding;carbohydrate metabolic process;cytoplasm;G-protein coupled receptor protein signaling pathway;germ cell development;glucose metabolic process;glucose transport;glycogen biosynthetic process;identical protein binding;inflammatory response;insulin receptor signaling pathway;insulin-like growth factor receptor signaling pathway;lamellipodium;nitric oxide biosynthetic process;nucleotide binding;nucleus;peptidyl-serine phosphorylation;protein amino aci	Alpha6Beta4 Integrin,  Androgen Receptor,  EGFR1,  Kit Receptor,  TNF_alpha_NF_kB,  Wnt,  Hahn and Weinberg 2002,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	NM_000044, NM_001011645	NP_000035.2, NP_001011645.1	ENSG00000169083	chrX:66681713 - 66860408	androgen binding;androgen receptor activity;androgen receptor signaling pathway;cell growth;cell proliferation;cell-cell signaling;cytoplasm;in utero embryonic development;lipid binding;male gonad development;male somatic sex determination;metal ion binding;nucleus;prostate gland development;protein dimerization activity;receptor activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;sex differentiation;signal transduction;transcription factor activity;transport;zinc ion binding	Alpha6Beta4 Integrin,  Androgen Receptor,  TGFBR,  Stability,  Tumor Suppressor
1179	CLCA1	chloride channel, calcium activated, family member 1	NM_001285	NP_001276.2	ENSG00000016490	chr1:86707242 - 86738316	chloride channel activity;integral to plasma membrane;transport	Alpha6Beta4 Integrin
9635	CLCA2	chloride channel, calcium activated, family member 2	NM_006536	NP_006527.1	ENSG00000137975	chr1:86662518 - 86693798	chloride channel activity;integral to plasma membrane;transport	Alpha6Beta4 Integrin,  Tumor Suppressor
1308	COL17A1	collagen, type XVII, alpha 1	NM_000494	NP_000485.3	ENSG00000065618	chr10:105781982 - 105830421	cell-matrix adhesion;cytoplasm;epidermis development;integral to plasma membrane;intercellular junction;membrane;phosphate transport;proteinaceous extracellular matrix;structural molecule activity	Alpha6Beta4 Integrin,  Stability
1832	DSP	desmoplakin	NM_004415, NM_001008844	NP_004406.2, NP_001008844.1	ENSG00000096696	chr6:7487147 - 7531110	basolateral plasma membrane;cell-cell adherens junction;cornified envelope;desmosome;epidermis development;intermediate filament;keratinocyte differentiation;mitochondrion;peptide cross-linking;protein binding, bridging;structural constituent of cytoskeleton	Alpha6Beta4 Integrin
667	DST	dystonin	NM_015548, NM_183380, NM_001723, NM_020388	NP_056363.2, NP_899236.1, NP_001714.1, NP_065121.2	ENSG00000151914	chr6:56431761 - 56815902	actin binding;actin cytoskeleton organization and biogenesis;actin filament binding;basement membrane;calcium ion binding;cell adhesion;cell cycle arrest;cytoplasm;cytoplasmic membrane-bound vesicle;cytoskeleton;cytoskeleton organization and biogenesis;extracellular space;hemidesmosome;integrin binding;integrin-mediated signaling pathway;intercellular junction;intermediate filament cytoskeleton organization and biogenesis;protein binding;protein C-terminus binding;structural constituent of cytoskeleton	Alpha6Beta4 Integrin
1956	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	NM_201284, NM_005228, NM_201283, NM_201282	NP_958441.1, NP_005219.2, NP_958440.1, NP_958439.1	ENSG00000146648	chr7:55054464 - 55240804	actin filament binding;AP-2 adaptor complex;ATP binding;calcium-dependent phospholipase A2 activation;cell cycle;cell proliferation;cell surface receptor linked signal transduction;cell-cell adhesion;cytoplasm;double-stranded DNA binding;endosome;epidermal growth factor receptor activity;epidermal growth factor receptor signaling pathway;extracellular space;identical protein binding;integral to membrane;MAP/ERK kinase kinase activity;negative regulation of progression through cell cycle;nitric-oxide synthas	Alpha6Beta4 Integrin,  EGFR1,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Amplification,  Missense mutation
1977	EIF4E	eukaryotic translation initiation factor 4E	NM_001968	NP_001959.1	ENSG00000151247	chr4:100021201 - 100069286	cytoplasm;eukaryotic translation initiation factor 4F complex;protein binding;regulation of translation;RNA cap binding;translation initiation factor activity;translational initiation	Alpha6Beta4 Integrin,  Hahn and Weinberg 2002,  Stability
