Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	NM_005158, NM_001100108, NM_007314	NP_005149.3, NP_001093578.1, NP_009298.1	null	chr1:177343475 - 177378802	ATP binding;cell adhesion;cytoplasm;cytoskeleton;intracellular signaling cascade;magnesium ion binding;manganese ion binding;nucleotide binding;peptidyl-tyrosine phosphorylation;phosphoinositide 3-kinase complex;phosphoinositide 3-kinase regulator activity;protein binding;protein modification process;protein-tyrosine kinase activity;transferase activity	Futreal et al 2004,  Mitelman 2000,  Protein Kinase,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
238	ALK	anaplastic lymphoma kinase (Ki-1)	NM_004304	NP_004295.2	ENSG00000171094	chr2:29269593 - 29997029	ATP binding;brain development;integral to plasma membrane;membrane;nervous system development;nucleotide binding;protein amino acid N-linked glycosylation;protein amino acid phosphorylation;receptor activity;receptor signaling protein tyrosine kinase activity;transferase activity;transmembrane receptor protein tyrosine kinase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Tyrosine Kinase,  Translocation
558	AXL	AXL receptor tyrosine kinase	NM_001699, NM_021913	NP_001690.2, NP_068713.2	ENSG00000167601	chr19:46417137 - 46457649	ATP binding;integral to plasma membrane;membrane;nucleotide binding;protein amino acid phosphorylation;receptor activity;regulation of progression through cell cycle;signal transduction;transferase activity;transmembrane receptor protein tyrosine kinase activity	Protein Kinase,  Tyrosine Kinase,  Entrez Query:Oncogene
640	BLK	B lymphoid tyrosine kinase	NM_001715	NP_001706.2	ENSG00000136573	chr8:11438142 - 11459026	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein kinase cascade;protein-tyrosine kinase activity;transferase activity	Protein Kinase,  Tyrosine Kinase
660	BMX	BMX non-receptor tyrosine kinase	NM_001721	NP_975010.1	ENSG00000102010	chrX:15436397 - 15484191	ATP binding;intracellular signaling cascade;mesoderm development;metal ion binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;signal transducer activity;transferase activity;zinc ion binding	Protein Kinase,  Tyrosine Kinase
673	BRAF	v-raf murine sarcoma viral oncogene homolog B1	NM_004333	NP_004324.2	ENSG00000157764	chr7:140080865 - 140270972	anti-apoptosis;ATP binding;cytoplasm;diacylglycerol binding;intracellular signaling cascade;metal ion binding;nucleotide binding;organ morphogenesis;plasma membrane;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity;zinc ion binding	Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Stability,  Tyrosine Kinase,  Entrez Query:Oncogene,  Missense mutation
695	BTK	Bruton agammaglobulinemia tyrosine kinase	NM_000061	NP_000052.1	ENSG00000010671	chrX:100491528 - 100516928	ATP binding;calcium-mediated signaling;cytoplasm;induction of apoptosis by extracellular signals;intracellular signaling cascade;kinase activity;lipid raft;mesoderm development;metal ion binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;transferase activity;zinc ion binding	Kit Receptor,  Protein Kinase,  Tyrosine Kinase
1436	CSF1R	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	NM_005211	NP_005202.2	ENSG00000182578	chr5:149413824 - 149446183	ATP binding;cell proliferation;integral to plasma membrane;macrophage colony stimulating factor receptor activity;multicellular organismal development;nucleotide binding;plasma membrane;protein amino acid phosphorylation;protein binding;receptor activity;signal transduction;transferase activity;transmembrane receptor protein tyrosine kinase signaling pathway	Tyrosine Kinase,  Entrez Query:Oncogene
1445	CSK	c-src tyrosine kinase	NM_001127190, NM_004383	NP_001120662.1, NP_004374.1	ENSG00000103653	chr15:72877691 - 72881907	ATP binding;cytoplasm;intercellular junction;intracellular signaling cascade;negative regulation of cell proliferation;nucleotide binding;plasma membrane;protein amino acid phosphorylation;protein C-terminus binding;protein-tyrosine kinase activity;regulation of progression through cell cycle;transferase activity	EGFR1,  Protein Kinase,  Tyrosine Kinase
